Index,Semester,Type,Course,Pre-Post,SI1,SI2,SI3,SI4,SI5,Science_ID_AVE,CM1,CM2,CM3,CM4,CM5,Career_Mot_AVE,IM1,IM2,IM3,IM4,IM5,Intrinsic_Mot_AVE,SD1,SD2,SD3,SD4,SD5,SelfDetermition_AVE,SE1,SE2,SE3,SE4,SE5,SelfEfficacy_AVE,GM1,GM2,GM3,GM4,GM5,Grade_Mot_AVE,Overall_SCI_MOT,Sci_Comp1,Sci_Comp2,Sci_Comp3,Sci_Comp4,Sci_Competancy_Ave,Per_Comm_Orient1,Per_Comm_Orient2,Per_Comm_Orient3,Per_Comm_Orient4,Persol_Comm_Orient_AVE,Sci_Comm_Orient1,Sci_Comm_Orient2,Sci_Comm_Orient3,Sci_Comm_Orient4,Sci_Comm_Orient_AVE,Resilience1,Resilience2,Resilience3,Resilience4,Resilience_AVE,Major,Career,Gender,Ethnicity,ParentsGradCollege,Dependents,Med-Condition,Med-Condition_Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Fall 2021,Major,BIOL1610,Pre,2,4,1,3,1,2.2,3,5,4,4,4,4,5,5,4,3,4,4.2,3,3,2,3,3,2.8,2,1,2,2,3,2,5,4,5,5,4,4.6,3.52,1,4,2,3,2.5,5,5,6,3,4.75,6,4,5,5,5,,,,,,10,5,6,7,No,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Fall 2021,Major,BIOL1610,Pre,4,4,1,1,3,2.6,5,5,5,5,5,5,4,4,2,2,3,3,4,5,5,4,4,4.4,5,5,5,5,5,5,5,5,5,5,5,5,4.48,4,2,3,3,3,2,4,4,5,3.75,3,3,3,3,3,,,,,,10,12,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Fall 2021,Major,BIOL1610,Pre,5,5,5,5,4,4.8,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4.8,5,5,5,5,5,5,5,5,5,5,5,5,4.96,5,5,5,5,5,6,5,6,5,5.5,6,6,6,6,6,,,,,,9,1,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Fall 2021,Major,BIOL1610,Pre,4,4,4,5,4,4.2,4,5,5,5,4,4.6,5,5,5,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4.2,4,5,4,4,3,4,4.36,3,4,5,5,4.25,5,4,5,5,4.75,5,5,5,5,5,,,,,,11,12,6,10,Unsure,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Spring 2022,Non-Major,BIOL1010,Pre,2,4,3,4,3,3.2,4,5,4,4,5,4.4,5,5,4,4,5,4.6,2,3,4,4,3,3.2,5,5,5,5,5,5,5,5,4,5,4,4.6,4.36,4,3,4,4,3.75,5,5,6,5,5.25,5,5,5,6,5.25,,,,,,3,3,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Fall 2021,Non-Major,BIOL1010,Pre,3,3,2,1,4,2.6,3,4,4,5,4,4,5,4,3,4,5,4.2,4,5,5,4,5,4.6,4,4,4,4,4,4,5,5,5,5,5,5,4.36,4,3,3,3,3.25,6,6,6,6,6,6,6,6,6,6,,,,,,11,9,1,10,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Fall 2021,Major,BIOL1610,Pre,4,2,1,2,4,2.6,3,3,3,4,3,3.2,4,4,4,2,3,3.4,2,4,4,3,3,3.2,4,5,4,4,4,4.2,5,5,5,5,4,4.8,3.76,4,1,2,1,2,4,4,6,5,4.75,5,5,5,5,5,,,,,,9,12,1,8,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Spring 2022,Non-Major,BIOL1010,Pre,2,2,1,1,3,1.8,4,3,2,2,2,2.6,4,4,4,3,3,3.6,3,3,2,2,3,2.6,3,3,2,4,4,3.2,4,4,5,5,1,3.8,3.16,1,3,1,4,2.25,4,3,5,5,4.25,5,5,5,5,5,,,,,,11,12,6,7,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Fall 2021,Major,BIOL1610,Pre,3,4,1,4,2,2.8,4,5,5,5,5,4.8,5,4,5,5,4,4.6,4,4,4,4,3,3.8,3,4,3,4,3,3.4,5,5,5,5,3,4.6,4.24,2,2,1,4,2.25,6,6,6,6,6,6,6,6,6,6,,,,,,10,5,6,7,Yes,4,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Fall 2021,Major,BIOL1610,Pre,4,2,1,3,2,2.4,5,5,5,5,5,5,5,5,5,4,2,4.2,5,5,5,5,4,4.8,4,4,2,4,4,3.6,5,5,5,5,4,4.8,4.48,2,4,4,4,3.5,6,5,6,5,5.5,6,6,6,6,6,,,,,,1,6,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Spring 2022,Non-Major,BIOL1010,Pre,4,4,3,3,3,3.4,3,3,3,2,3,2.8,5,4,4,4,4,4.2,4,4,4,4,4,4,4,5,4,4,4,4.2,4,5,4,4,4,4.2,3.88,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,,,,,,3,3,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Fall 2021,Non-Major,BIOL1010,Pre,3,4,2,4,4,3.4,4,4,4,4,4,4,5,5,4,4,5,4.6,4,4,4,3,4,3.8,5,5,5,5,5,5,5,5,5,5,5,5,4.48,4,3,4,4,3.75,6,6,6,6,6,7,7,7,7,7,,,,,,3,3,1,10,Yes,1,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Spring 2022,Non-Major,BIOL1010,Pre,4,5,3,3,3,3.6,4,4,3,4,3,3.6,5,5,4,4,5,4.6,4,4,5,4,5,4.4,5,5,4,5,5,4.8,5,5,5,5,4,4.8,4.44,5,5,4,5,4.75,6,7,6,6,6.25,7,7,7,7,7,,,,,,9,12,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Spring 2022,Non-Major,BIOL1010,Pre,3,4,3,3,4,3.4,3,4,3,4,3,3.4,4,4,3,3,4,3.6,4,5,4,4,5,4.4,5,5,5,5,5,5,4,5,5,5,4,4.6,4.2,1,2,2,2,1.75,5,4,5,5,4.75,5,6,6,5,5.5,,,,,,9,12,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Fall 2021,Major,BIOL1610,Pre,3,3,3,3,2,2.8,5,5,5,5,5,5,4,5,4,4,4,4.2,3,4,4,3,4,3.6,3,4,3,3,3,3.2,5,5,5,5,3,4.6,4.12,2,2,2,2,2,5,5,6,5,5.25,5,3,4,4,4,,,,,,6,5,1,10,Yes,0,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Spring 2022,Non-Major,BIOL1010,Pre,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,,,,,,10,1,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Fall 2021,Major,BIOL1610,Pre,2,4,1,2,2,2.2,3,3,3,3,3,3,4,3,3,2,3,3,4,3,4,3,3,3.4,3,4,4,3,2,3.2,5,5,5,5,3,4.6,3.44,2,2,3,3,2.5,4,4,4,4,4,4,4,4,4,4,,,,,,11,12,6,8,Yes,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Fall 2021,Major,BIOL1610,Pre,3,4,4,3,4,3.6,4,5,5,5,4,4.6,4,4,4,4,2,3.6,3,4,4,3,3,3.4,4,5,5,5,5,4.8,5,5,5,5,5,5,4.28,4,3,4,4,3.75,5,6,6,6,5.75,5,5,4,5,4.75,,,,,,10,1,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Fall 2021,Major,BIOL1610,Pre,4,3,3,3,4,3.4,5,5,5,5,5,5,5,4,4,4,4,4.2,5,4,4,4,4,4.2,5,5,5,5,5,5,5,5,5,5,3,4.6,4.6,3,2,4,5,3.5,6,6,6,6,6,6,6,6,6,6,,,,,,1,1,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Spring 2022,Non-Major,BIOL1010,Pre,2,2,2,2,3,2.2,4,5,5,5,3,4.4,4,4,4,5,4,4.2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,3,4.4,4.2,2,3,3,2,2.5,5,6,6,5,5.5,5,5,5,6,5.25,,,,,,11,12,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Spring 2022,Non-Major,BIOL1010,Pre,2,3,3,1,3,2.4,3,4,3,2,2,2.8,4,4,4,3,3,3.6,4,5,5,4,5,4.6,4,5,4,4,4,4.2,5,5,3,5,3,4.2,3.88,2,2,3,3,2.5,5,4,6,6,5.25,6,6,6,6,6,,,,,,11,12,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Fall 2021,Major,BIOL1610,Pre,2,4,4,4,3,3.4,1,2,1,1,1,1.2,1,1,1,1,1,1,1,2,1,1,1,1.2,2,1,1,1,1,1.2,1,1,1,1,1,1,1.12,5,2,5,5,4.25,6,6,6,6,6,6,5,5,5,5.25,,,,,,11,12,1,10,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Fall 2021,Major,BIOL1610,Pre,5,5,4,5,4,4.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.2,1,1,1,1,1,1,5,5,5,5,3,4.6,1.76,4,5,4,4,4.25,6,6,6,6,6,6,6,6,6,6,,,,,,10,1,1,10,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Fall 2021,Non-Major,BIOL1010,Pre,3,3,2,2,3,2.6,4,4,4,4,4,4,4,3,5,4,4,4,3,3,4,3,3,3.2,4,5,3,2,4,3.6,5,5,3,5,3,4.2,3.8,3,3,3,4,3.25,7,6,7,6,6.5,7,7,7,6,6.75,,,,,,10,5,1,10,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Summer 2021,Major,BIOL1610,Pre,4,4,3,3,5,3.8,5,5,5,5,5,5,5,5,5,5,4,4.8,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,3,4.6,4.68,2,4,3,5,3.5,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,10,5,6,10,Yes,1,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Summer 2021,Major,BIOL1610,Pre,4,4,3,3,5,3.8,5,5,5,5,5,5,4,5,4,4,4,4.2,5,5,5,5,5,5,4,5,5,5,5,4.8,5,5,5,5,3,4.6,4.72,2,4,4,5,3.75,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,10,5,6,10,Yes,1,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Fall 2021,Major,BIOL1610,Pre,3,4,3,4,4,3.6,5,5,5,5,5,5,5,5,4,3,4,4.2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,3,4.6,4.36,4,4,4,4,4,5,4,5,5,4.75,5,5,4,5,4.75,,,,,,11,1,1,10,Yes,0,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Fall 2021,Non-Major,BIOL1010,Pre,4,3,2,3,3,3,2,4,4,4,3,3.4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,5,5,3,4,4,4.2,4.12,4,4,4,4,4,6,6,6,6,6,5,6,6,6,5.75,,,,,,4,4,1,10,Unsure,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Spring 2022,Non-Major,BIOL1010,Pre,3,3,2,2,3,2.6,3,2,2,2,3,2.4,4,4,5,3,4,4,3,2,2,1,2,2,4,1,1,1,2,1.8,5,4,5,5,4,4.6,2.96,3,2,2,5,3,5,6,6,6,5.75,5,6,6,6,5.75,,,,,,3,3,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Spring 2022,Non-Major,BIOL1010,Pre,2,4,4,4,4,3.6,4,5,4,5,5,4.6,4,5,4,4,5,4.4,3,3,4,4,3,3.4,4,4,4,4,4,4,4,4,5,5,3,4.2,4.12,3,4,5,4,4,5,5,5,5,5,4,6,5,5,5,,,,,,8,7,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Summer 2021,Major,BIOL1610,Pre,4,4,1,2,3,2.8,4,4,4,4,4,4,4,4,4,4,3,3.8,4,4,3,3,4,3.6,4,4,4,4,4,4,5,5,5,5,5,5,4.08,4,3,2,4,3.25,5,4,6,4,4.75,4,5,6,5,5,3,3,4,5,3.75,3,5,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Fall 2021,Major,BIOL1610,Pre,3,1,1,1,3,1.8,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,3,3,4,5,3.8,4,3,5,4,4,4,4.36,2,1,1,1,1.25,4,3,5,5,4.25,6,6,6,6,6,,,,,,9,12,1,10,Yes,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Fall 2021,Major,BIOL1610,Pre,3,4,3,3,3,3.2,4,5,5,5,5,4.8,4,4,4,3,4,3.8,4,4,4,5,4,4.2,5,4,4,4,5,4.4,5,5,5,5,4,4.8,4.4,3,4,2,4,3.25,5,6,6,6,5.75,5,6,5,5,5.25,,,,,,10,5,6,8,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Fall 2021,Major,BIOL1610,Pre,4,4,3,3,4,3.6,2,1,1,1,2,1.4,2,1,1,2,3,1.8,4,4,4,4,4,4,3,4,3,3,4,3.4,4,4,4,5,5,4.4,3,3,2,2,2,2.25,5,5,6,5,5.25,5,5,5,5,5,,,,,,11,12,6,10,No,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Fall 2021,Non-Major,BIOL1010,Pre,4,3,2,2,4,3,4,4,4,5,3,4,5,5,5,5,4,4.8,2,2,2,2,2,2,4,4,3,4,4,3.8,5,4,5,5,3,4.4,3.8,3,1,1,2,1.75,6,6,6,7,6.25,7,6,7,5,6.25,,,,,,11,9,1,10,Yes,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Spring 2022,Non-Major,BIOL1010,Pre,1,1,1,1,1,1,3,2,2,3,3,2.6,3,3,2,2,2,2.4,3,1,1,2,1,1.6,1,1,1,1,1,1,1,1,1,1,1,1,1.72,3,4,4,4,3.75,5,5,5,5,5,4,6,6,6,5.5,,,,,,11,3,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Fall 2021,Major,BIOL1610,Pre,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4.2,4,5,4,4,5,4.4,5,4,5,5,3,4.4,4.6,3,4,4,5,4,6,6,6,6,6,6,6,6,6,6,,,,,,11,12,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Fall 2021,Major,BIOL1610,Pre,5,5,4,5,4,4.6,5,5,5,5,5,5,5,5,4,4,5,4.6,4,4,5,4,5,4.4,4,5,5,4,4,4.4,5,5,5,5,4,4.8,4.64,2,3,2,3,2.5,5,5,6,5,5.25,4,4,5,5,4.5,,,,,,1,1,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Fall 2021,Non-Major,BIOL1010,Pre,2,2,1,1,3,1.8,3,4,4,4,4,3.8,3,4,3,3,3,3.2,4,4,3,4,3,3.6,4,4,4,4,5,4.2,4,4,3,3,4,3.6,3.68,4,4,1,4,3.25,4,4,5,5,4.5,6,6,5,6,5.75,,,,,,8,7,1,6,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Fall 2021,Non-Major,BIOL1010,Pre,3,4,4,3,3,3.4,5,5,5,5,5,5,5,4,4,4,5,4.4,4,4,4,4,4,4,4,5,4,5,5,4.6,5,5,5,5,4,4.8,4.56,3,3,3,4,3.25,5,6,7,6,6,6,6,6,6,6,,,,,,11,1,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Spring 2022,Non-Major,BIOL1010,Pre,4,4,4,3,3,3.6,5,5,5,5,5,5,5,5,4,4,4,4.4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4.8,4.64,2,3,3,4,3,6,6,7,7,6.5,6,7,7,7,6.75,,,,,,3,12,6,9,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Spring 2022,Non-Major,BIOL1010,Pre,4,4,4,3,3,3.6,3,4,4,4,4,3.8,4,5,5,3,5,4.4,4,4,4,4,4,4,4,5,5,5,5,4.8,5,5,5,5,3,4.6,4.32,3,3,3,2,2.75,5,5,5,5,5,5,5,6,6,5.5,,,,,,11,12,6,9,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Fall 2021,Major,BIOL1610,Pre,4,5,4,5,3,4.2,4,5,5,5,5,4.8,5,4,5,4,4,4.4,4,4,4,4,4,4,4,4,4,4,5,4.2,5,5,5,5,5,5,4.48,4,1,4,4,3.25,4,4,5,4,4.25,4,5,5,4,4.5,,,,,,10,5,1,10,Yes,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Fall 2021,Major,BIOL1610,Pre,4,4,3,5,4,4,1,1,2,2,2,1.6,4,3,3,3,4,3.4,4,5,5,4,4,4.4,4,4,4,5,4,4.2,5,5,5,5,4,4.8,3.68,4,1,1,1,1.75,5,6,6,6,5.75,5,5,5,5,5,,,,,,11,1,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Fall 2021,Major,BIOL1610,Pre,4,5,4,3,3,3.8,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,3,5,4,5,4.25,6,4,4,4,4.5,5,5,6,4,5,,,,,,1,11,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Spring 2022,Non-Major,BIOL1010,Pre,3,4,4,4,3,3.6,1,1,1,1,1,1,1,1,2,2,1,1.4,2,2,2,2,2,2,4,5,5,5,5,4.8,4,4,4,4,4,4,2.64,4,3,1,4,3,4,6,6,6,5.5,6,6,6,6,6,,,,,,7,12,1,10,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Fall 2021,Major,BIOL1610,Pre,4,4,4,5,4,4.2,5,5,5,5,5,5,5,5,4,4,5,4.6,4,4,4,4,3,3.8,2,3,3,3,4,3,5,4,4,4,5,4.4,4.16,3,4,4,4,3.75,5,4,6,5,5,6,6,6,5,5.75,,,,,,1,12,6,10,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Fall 2021,Major,BIOL1610,Pre,5,5,4,4,3,4.2,4,5,5,5,5,4.8,5,5,5,4,5,4.8,3,2,3,4,2,2.8,5,5,5,5,5,5,4,3,3,4,5,3.8,4.24,4,3,1,4,3,5,5,5,5,5,5,5,5,5,5,,,,,,1,11,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Summer 2021,Major,BIOL1610,Pre,3,4,4,4,3,3.6,5,5,5,5,5,5,4,5,4,4,4,4.2,4,4,2,4,4,3.6,3,3,3,2,4,3,4,4,4,4,3,3.8,3.92,2,5,4,4,3.75,5,5,5,5,5,6,5,4,4,4.75,3,3,4,4,3.5,11,5,1,7,Yes,0,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
